Duplicate_Name,Canonical_Name
Chongqing University,Chongqing University of Technology
College of informatics,College of Informatics
College of Informatics,College of informatics
DII - University of Modena e Reggio Emilia,DII - University of Modena and Reggio Emilia
University of Modena and Reggio Emilia,DII - University of Modena and Reggio Emilia
School of Computing and Information Technology,Faculty of Computing and Information Technology
Faculty of Electrical Engineering and Computing,Faculty of Electrical Engineering and Computer Science
School of Electrical Engineering and Computer Science,Faculty of Electrical Engineering and Computer Science
Faculty of Electrical Engineering,Faculty of Electrical Engineering and Computing
Faculty of Information,Faculty of Informatics
Faculty of Informatics,Faculty of Information
Faculty of Information and Communication Technology,Faculty of Information Technology and Communication Sciences
Federal Institute of Espírito Santo,Federal University of Espírito Santo
Federal University of São João del-Rei,Federal University of São João Del-Rei
Federal University of São João Del-Rei,Federal University of São João del-Rei
Fraunhofer Institute for Applied Information Technology,Fraunhofer Institute for Applied Information Technology FIT
ISISTAN Research Institute (CONICET/UNICEN),ISISTAN Research Institute (CONICET-UNICEN)
ISISTAN Research Institute (CONICET-UNICEN),ISISTAN Research Institute (CONICET/UNICEN)
University of Copenhagen,IT University of Copenhagen
Institute of Mathematics and Computer Sciences,Institute of Mathematical and Computer Sciences
Institute of Mathematics and Computer Science,Institute of Mathematics and Computer Sciences
School of Mathematics and Computer Sciences,Institute of Mathematics and Computer Sciences
Millennium Institute for Foundational Research on Data,Millennium Institute for Foundational Research on Data (IMFD)
Information Engineering University,PLA Information Engineering University
School of information and Communication Engineering,School of Communication and Information Engineering
School of Computer and Information Technology,School of Computer Science and Information Technology
School of Computer Science and Communication Engineering,School of Computer Science and Telecommunication Engineering
School of Computing and Information,School of Computing and Information Technology
School of Information,School of Informatics
School of Informatics,School of Information
School of Information Technology,School of Information Technologies
School of Computer Science and Information Technology,School of Information Technology and Computer Science
School of Information Technology & Mathematical Sciences,School of Information Technology and Mathematical Sciences
School of Information and Communication Technology,School of Information and Communication Technologies
School of Communication and Information Engineering,School of information and Communication Engineering
Technical University Munich,Technical University of Munich
Chinese University of Hong Kong,The Chinese University of Hong Kong
Hong Kong Polytechnic University,The Hong Kong Polytechnic University
Hong Kong University of Science and Technology,The Hong Kong University of Science and Technology
State University of New York at Buffalo,The State University of New York at Buffalo
University of British Columbia,The University of British Columbia
University of Hong Kong,The University of Hong Kong
University of Manchester,The University of Manchester
University of Melbourne,The University of Melbourne
University of Toronto,The University of Toronto
University of Vermont,The University of Vermont
UHasselt – Hasselt University,UHasselt - Hasselt University
Hasselt University,UHasselt – Hasselt University
University Clermont Auvergne,University of Clermont Auvergne
University of Mannheim,University of Mannheim Mannheim
University of Montpellier,University of Montpellier 2
University of the Basque Country UPV/EHU,University of the Basque Country (UPV/EHU)
Vienna University of Economics and Business,Vienna University of Economics and Business (WU)
School of Computer Science,and School of Computer Science
